longitude,latitude,easting,northing,elevation,gravity
27.60109,-24.92947,1167451.85,7226607.48,965.38,978641.37
27.62991,-24.04652,1175105.48,7324658.99,1021.0,978568.27
27.67139,-24.91022,1174686.32,7228398.75,1040.14,978625.37
27.6936,-24.0466,1181610.2,7324340.48,1020.0,978569.82
27.7079,-24.97186,1178049.53,7221360.14,1052.1,978623.69
27.71883,-24.24251,1183137.19,7302426.53,1211.0,978546.0
27.74223,-24.06337,1186487.63,7322236.7,994.0,978576.71
27.77333,-24.62666,1186596.17,7259426.18,968.04,978634.5
27.80667,-24.59167,1190179.67,7263150.17,1134.76,978569.41
27.82935,-24.12064,1195074.7,7315433.98,987.0,978581.52
27.86572,-24.18449,1198438.23,7308148.45,1015.0,978578.87
27.89709,-24.09709,1202120.81,7317713.79,1212.0,978535.84
27.92168,-24.52499,1202252.77,7269982.59,1242.05,978540.82
27.93501,-24.03156,1206355.32,7324812.91,1333.0,978508.74
27.95168,-24.785,1203834.83,7240899.81,1221.93,978565.11
27.9808,-24.13535,1210457.61,7313031.82,1140.0,978553.3
28.02444,-24.07071,1215275.83,7320000.8,1284.9,978523.85
28.09946,-24.22017,1222093.57,7302980.58,1157.8,978555.78
28.16199,-24.22298,1228459.48,7302340.27,1173.9,978554.55
28.21925,-24.01126,1235523.83,7325603.48,1233.0,978536.71
28.29385,-24.02519,1243071.09,7323657.54,1295.3,978527.41
28.41258,-24.03503,1255153.92,7321924.03,1284.9,978527.47
28.84206,-24.79675,1294254.23,7234665.25,1012.2,978600.21
28.01833,-24.24167,1213693.12,7301008.84,1202.73,978541.62
28.105,-24.42332,1221498.3,7280343.92,1194.5,978558.52
28.15167,-24.94167,1223231.01,7222410.57,1112.2,978606.7
28.25667,-24.89833,1234144.82,7226666.54,1117.08,978604.1
28.325,-24.28667,1244724.81,7294382.35,1417.92,978506.23
28.35333,-24.75333,1244833.09,7242278.49,1182.61,978573.61
28.40334,-24.69667,1250259.93,7248310.81,1155.79,978580.11
28.47667,-24.94501,1256195.34,7220253.19,1071.06,978607.6
28.52333,-24.29832,1264894.56,7292000.19,1495.64,978490.04
28.55333,-24.32333,1267804.35,7289048.34,1355.43,978514.53
28.59167,-24.645,1269737.9,7253011.38,1165.54,978573.41
28.63367,-24.09125,1277423.62,7314446.05,1302.7,978529.79
28.66875,-24.0444,1281297.09,7319467.64,1076.4,978582.05
28.71001,-24.28333,1284042.67,7292621.28,1254.55,978548.92
28.73746,-24.09438,1288017.28,7313512.72,1092.7,978593.57
28.74667,-24.55167,1286104.74,7262521.37,1076.85,978583.31
28.76573,-24.19902,1290257.89,7301695.27,1130.3,978594.37
28.79738,-24.13232,1293908.53,7308944.76,1295.3,978565.3
28.8114,-24.3123,1294213.29,7288813.58,1387.0,978532.96
28.82993,-24.40759,1295502.9,7278090.57,1097.3,978584.84
28.85333,-24.72333,1295872.88,7242778.44,1029.6,978593.31
28.87572,-24.01022,1302686.07,7322098.32,1057.2,978578.73
28.89702,-24.04182,1304667.33,7318454.43,1052.7,978595.67
28.90508,-24.46939,1302774.37,7270766.99,1068.8,978598.01
28.93227,-24.22745,1307096.01,7297565.59,1522.0,978563.18
28.95132,-24.04062,1310231.67,7318273.02,1159.9,978567.41
28.96808,-24.32858,1310106.65,7286086.62,1083.0,978640.4
28.98926,-24.25143,1312765.68,7294559.09,1073.1,978644.93
29.03,-24.42667,1315792.75,7274789.12,1046.06,978595.71
29.05646,-24.09496,1320642.93,7311600.23,1217.3,978539.1
29.08624,-24.86584,1318631.25,7225507.99,937.6,978616.59
29.11166,-24.375,1324464.53,7280059.46,1080.81,978580.31
29.12505,-24.14848,1327312.85,7305227.34,1309.9,978532.58
29.145,-24.76167,1325303.41,7236760.2,920.18,978627.3
29.17368,-24.89845,1327302.67,7221339.11,907.4,978630.85
29.19148,-24.13628,1334187.77,7306188.81,1430.5,978510.74
29.21484,-24.92857,1331283.02,7217727.97,866.2,978655.06
29.22833,-24.31833,1336753.24,7285671.14,1129.58,978551.62
29.24742,-24.95706,1334400.49,7214350.16,890.8,978668.66
29.26334,-24.46167,1339371.4,7269477.34,945.79,978597.21
29.28667,-24.53667,1341247.07,7260972.34,905.86,978613.3
29.29362,-24.18449,1344317.0,7300194.58,1279.7,978524.78
29.3,-24.94833,1339804.03,7214995.5,878.43,978678.38
29.31667,-24.88167,1341956.11,7222322.83,873.85,978662.29
29.33501,-24.35167,1347427.9,7281300.36,976.57,978595.01
29.345,-24.23666,1349222.37,7294062.56,1108.24,978542.82
29.37,-24.655,1348938.03,7247261.59,866.84,978643.89
29.38855,-24.05894,1354870.97,7313611.8,1383.9,978498.56
